apt	3.2.0	amd64
base-files	14ubuntu6.2	amd64
base-passwd	3.6.8	amd64
bash	5.3-2ubuntu1	amd64
bsdutils	1:2.41.3-3ubuntu2	amd64
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all
coreutils-from-uutils	0.0.0~ubuntu25	all
dash	0.5.12-12ubuntu3	amd64
debconf	1.5.92	all
debianutils	5.23.2build1	amd64
diffutils	1:3.12-1	amd64
dpkg	1.23.7ubuntu1	amd64
e2fsprogs	1.47.2-3ubuntu4	amd64
findutils	4.10.0-3build2	amd64
gcc-16-base:amd64	16-20260322-1ubuntu1	amd64
gnu-coreutils	9.7-3ubuntu2	amd64
gpgv	2.4.8-4ubuntu3	amd64
grep	3.12-1	amd64
gzip	1.14-1~exp2ubuntu1.1	amd64
hostname	3.25build1	amd64
init-system-helpers	1.69	all
libacl1:amd64	2.3.2-2	amd64
libapt-pkg7.0:amd64	3.2.0	amd64
libattr1:amd64	1:2.5.2-4	amd64
libaudit-common	1:4.1.2-1build1	all
libaudit1:amd64	1:4.1.2-1build1	amd64
libblkid1:amd64	2.41.3-3ubuntu2	amd64
libbsd0:amd64	0.12.2-2build2	amd64
libbz2-1.0:amd64	1.0.8-6build2	amd64
libc-bin	2.43-2ubuntu2.3	amd64
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3	amd64
libc6:amd64	2.43-2ubuntu2.3	amd64
libcap-ng0:amd64	0.8.5-4build5	amd64
libcom-err2:amd64	1.47.2-3ubuntu4	amd64
libcrypt1:amd64	1:4.5.1-1	amd64
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1	amd64
libdebconfclient0:amd64	0.280ubuntu1	amd64
libext2fs2t64:amd64	1.47.2-3ubuntu4	amd64
libgcc-s1:amd64	16-20260322-1ubuntu1	amd64
libgcrypt20:amd64	1.12.0-2ubuntu1	amd64
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2	amd64
libgpg-error0:amd64	1.58-2	amd64
liblz4-1:amd64	1.10.0-8	amd64
liblzma5:amd64	5.8.3-1	amd64
libmd0:amd64	1.1.0-2build4	amd64
libmount1:amd64	2.41.3-3ubuntu2	amd64
libncursesw6:amd64	6.6+20251231-1	amd64
libpam-modules-bin	1.7.0-5ubuntu3.1	amd64
libpam-modules:amd64	1.7.0-5ubuntu3.1	amd64
libpam-runtime	1.7.0-5ubuntu3.1	all
libpam0g:amd64	1.7.0-5ubuntu3.1	amd64
libpcre2-8-0:amd64	10.46-1build1	amd64
libproc2-0:amd64	2:4.0.4-9ubuntu1	amd64
libseccomp2:amd64	2.6.0-2ubuntu5	amd64
libselinux1:amd64	3.9-4build1	amd64
libsemanage-common	3.9-1build1	all
libsemanage2:amd64	3.9-1build1	amd64
libsepol2:amd64	3.9-2	amd64
libsmartcols1:amd64	2.41.3-3ubuntu2	amd64
libss2:amd64	1.47.2-3ubuntu4	amd64
libssl3t64:amd64	3.5.5-1ubuntu3.4	amd64
libstdc++6:amd64	16-20260322-1ubuntu1	amd64
libsystemd0:amd64	259.5-0ubuntu3.4	amd64
libtinfo6:amd64	6.6+20251231-1	amd64
libudev1:amd64	259.5-0ubuntu3.4	amd64
libuuid1:amd64	2.41.3-3ubuntu2	amd64
libxxhash0:amd64	0.8.3-2build1	amd64
libzstd1:amd64	1.5.7+dfsg-3	amd64
login	1:4.16.0-2+really2.41.3-3ubuntu2	amd64
login.defs	1:4.17.4-2ubuntu3	all
logsave	1.47.2-3ubuntu4	amd64
mawk	1.3.4.20260129-1	amd64
mount	2.41.3-3ubuntu2	amd64
ncurses-base	6.6+20251231-1	all
ncurses-bin	6.6+20251231-1	amd64
openssl-provider-legacy	3.5.5-1ubuntu3.4	amd64
passwd	1:4.17.4-2ubuntu3	amd64
perl-base	5.40.1-7ubuntu0.1	amd64
procps	2:4.0.4-9ubuntu1	amd64
rust-coreutils	0.8.0-0ubuntu3	amd64
sed	4.9-2ubuntu1	amd64
sensible-utils	0.0.26build1	all
sysvinit-utils	3.15-5ubuntu1	amd64
tar	1.35+dfsg-4ubuntu0.4	amd64
ubuntu-keyring	2023.11.28.1build1	all
util-linux	2.41.3-3ubuntu2	amd64
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3	amd64
