apt	3.2.0	arm64
base-files	14ubuntu6.2	arm64
base-passwd	3.6.8	arm64
bash	5.3-2ubuntu1	arm64
bsdutils	1:2.41.3-3ubuntu2	arm64
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all
coreutils-from-uutils	0.0.0~ubuntu25	all
dash	0.5.12-12ubuntu3	arm64
debconf	1.5.92	all
debianutils	5.23.2build1	arm64
diffutils	1:3.12-1	arm64
dpkg	1.23.7ubuntu1	arm64
e2fsprogs	1.47.2-3ubuntu4	arm64
findutils	4.10.0-3build2	arm64
gcc-16-base:arm64	16-20260322-1ubuntu1	arm64
gnu-coreutils	9.7-3ubuntu2	arm64
gpgv	2.4.8-4ubuntu3	arm64
grep	3.12-1	arm64
gzip	1.14-1~exp2ubuntu1.1	arm64
hostname	3.25build1	arm64
init-system-helpers	1.69	all
libacl1:arm64	2.3.2-2	arm64
libapt-pkg7.0:arm64	3.2.0	arm64
libattr1:arm64	1:2.5.2-4	arm64
libaudit-common	1:4.1.2-1build1	all
libaudit1:arm64	1:4.1.2-1build1	arm64
libblkid1:arm64	2.41.3-3ubuntu2	arm64
libbsd0:arm64	0.12.2-2build2	arm64
libbz2-1.0:arm64	1.0.8-6build2	arm64
libc-bin	2.43-2ubuntu2.3	arm64
libc-gconv-modules-extra:arm64	2.43-2ubuntu2.3	arm64
libc6:arm64	2.43-2ubuntu2.3	arm64
libcap-ng0:arm64	0.8.5-4build5	arm64
libcom-err2:arm64	1.47.2-3ubuntu4	arm64
libcrypt1:arm64	1:4.5.1-1	arm64
libdb5.3t64:arm64	5.3.28+dfsg2-10ubuntu1	arm64
libdebconfclient0:arm64	0.280ubuntu1	arm64
libext2fs2t64:arm64	1.47.2-3ubuntu4	arm64
libgcc-s1:arm64	16-20260322-1ubuntu1	arm64
libgcrypt20:arm64	1.12.0-2ubuntu1	arm64
libgmp10:arm64	2:6.3.0+dfsg-5ubuntu2	arm64
libgpg-error0:arm64	1.58-2	arm64
liblz4-1:arm64	1.10.0-8	arm64
liblzma5:arm64	5.8.3-1	arm64
libmd0:arm64	1.1.0-2build4	arm64
libmount1:arm64	2.41.3-3ubuntu2	arm64
libncursesw6:arm64	6.6+20251231-1	arm64
libpam-modules-bin	1.7.0-5ubuntu3.1	arm64
libpam-modules:arm64	1.7.0-5ubuntu3.1	arm64
libpam-runtime	1.7.0-5ubuntu3.1	all
libpam0g:arm64	1.7.0-5ubuntu3.1	arm64
libpcre2-8-0:arm64	10.46-1build1	arm64
libproc2-0:arm64	2:4.0.4-9ubuntu1	arm64
libseccomp2:arm64	2.6.0-2ubuntu5	arm64
libselinux1:arm64	3.9-4build1	arm64
libsemanage-common	3.9-1build1	all
libsemanage2:arm64	3.9-1build1	arm64
libsepol2:arm64	3.9-2	arm64
libsmartcols1:arm64	2.41.3-3ubuntu2	arm64
libss2:arm64	1.47.2-3ubuntu4	arm64
libssl3t64:arm64	3.5.5-1ubuntu3.4	arm64
libstdc++6:arm64	16-20260322-1ubuntu1	arm64
libsystemd0:arm64	259.5-0ubuntu3.4	arm64
libtinfo6:arm64	6.6+20251231-1	arm64
libudev1:arm64	259.5-0ubuntu3.4	arm64
libuuid1:arm64	2.41.3-3ubuntu2	arm64
libxxhash0:arm64	0.8.3-2build1	arm64
libzstd1:arm64	1.5.7+dfsg-3	arm64
login	1:4.16.0-2+really2.41.3-3ubuntu2	arm64
login.defs	1:4.17.4-2ubuntu3	all
logsave	1.47.2-3ubuntu4	arm64
mawk	1.3.4.20260129-1	arm64
mount	2.41.3-3ubuntu2	arm64
ncurses-base	6.6+20251231-1	all
ncurses-bin	6.6+20251231-1	arm64
openssl-provider-legacy	3.5.5-1ubuntu3.4	arm64
passwd	1:4.17.4-2ubuntu3	arm64
perl-base	5.40.1-7ubuntu0.1	arm64
procps	2:4.0.4-9ubuntu1	arm64
rust-coreutils	0.8.0-0ubuntu3	arm64
sed	4.9-2ubuntu1	arm64
sensible-utils	0.0.26build1	all
sysvinit-utils	3.15-5ubuntu1	arm64
tar	1.35+dfsg-4ubuntu0.4	arm64
ubuntu-keyring	2023.11.28.1build1	all
util-linux	2.41.3-3ubuntu2	arm64
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1ubuntu3	arm64
